trial,raw_file,toggle_index,toggle_s,first_event_s,latency_us,detected_within_window,iqr_outlier
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,3,5.0,5.000001999999999,1.9999999993913775,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,4,6.0,6.000001,1.000000000139778,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,5,7.0,7.0,0.0,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,6,8.0,8.000024999999999,24.999999999053557,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,7,9.0,9.000007,7.000000000090267,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,8,10.0,10.000001,0.9999999992515995,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,9,11.0,11.000010999999999,10.999999998873022,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,10,12.0,12.000058,57.99999999922534,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,11,13.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,12,14.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,13,15.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,14,16.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,15,17.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,16,18.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,17,19.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,18,20.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,19,21.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,20,22.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,21,23.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,22,24.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,23,25.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,24,26.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,25,27.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,26,28.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,27,29.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,28,30.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,29,31.0,,,0,0
